Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_runs
LA-AIDS,0.070687,0.0,0.055926,0.0,5
BLP (IV),0.077662,0.0,0.059908,0.0,5
QUAIDS,0.069565,0.0,0.055185,0.0,5
Series Est.,0.06514,0.0,0.050766,0.0,5
Neural Demand (window),0.080455,0.001074,0.06348,0.000966,5
LDS (Shared),0.092001,0.0,0.073603,0.0,5
LDS (GoodSpec),0.091966,0.0,0.073558,0.0,5
LDS (Orth),0.086792,0.0,0.070608,0.0,5
Neural Demand (static),0.064498,0.000445,0.049904,0.000265,5
Neural Demand (habit),0.047871,9.8e-05,0.035915,9.6e-05,5
Var. Mixture,0.094068,0.01496,0.078523,0.013294,5
Neural Demand (FE),0.05861,0.000621,0.044754,0.000561,5
"Neural Demand (habit, FE)",0.048012,9.9e-05,0.036091,0.000136,5
Neural Demand (CF),0.067149,0.000475,0.051332,0.000324,5
"Neural Demand (habit, CF)",0.047851,0.00032,0.036016,0.000284,5
"Neural Demand (habit, FE, CF)",0.047878,0.000211,0.035976,0.000152,5
